13722KRDU RDU20260801163011908/01/26 16:30:31  5-MIN KRDU 012130Z 14010G16KT 10SM SCT050 BKN250 31/20 A2987 480 51 2500 150/10G16 RMK AO2 T03110200
13722KRDU RDU20260801163511308/01/26 16:35:31  5-MIN KRDU 012135Z 12010KT 10SM SCT050 BKN250 31/20 A2987 480 52 2400 130/10 RMK AO2 T03060200
13722KRDU RDU20260801164011308/01/26 16:40:31  5-MIN KRDU 012140Z 14010KT 10SM SCT055 BKN250 31/20 A2987 480 52 2400 140/10 RMK AO2 T03060200
13722KRDU RDU20260801164512008/01/26 16:45:31  5-MIN KRDU 012145Z 13008KT 10SM SCT055 BKN250 31/20 A2987 480 52 2400 130/08 RMK AO2 SLP109 T03060200
13722KRDU RDU20260801165012008/01/26 16:50:31  5-MIN KRDU 012150Z 13009KT 10SM SCT055 BKN250 31/20 A2987 490 52 2400 140/09 RMK AO2 SLP108 T03060200
13722KRDU RDU20260801165511908/01/26 16:55:31  5-MIN KRDU 012155Z 14007G15KT 10SM SCT055 BKN250 31/21 A2987 490 53 2500 140/07G15 RMK AO2 T03110206
13722KRDU RDU20260801170011908/01/26 17:00:31  5-MIN KRDU 012200Z 14010G16KT 10SM SCT055 BKN250 31/21 A2987 490 53 2500 150/10G16 RMK AO2 T03110206
13722KRDU RDU20260801170511908/01/26 17:05:31  5-MIN KRDU 012205Z 13009G16KT 10SM SCT055 BKN250 31/20 A2986 490 51 2500 140/09G16 RMK AO2 T03110200
13722KRDU RDU20260801171013508/01/26 17:10:31  5-MIN KRDU 012210Z 15009G18KT 120V180 10SM SCT055 BKN250 31/20 A2986 490 52 2400 160/09G18 130V190 RMK AO2 T03060200
13722KRDU RDU20260801171511908/01/26 17:15:31  5-MIN KRDU 012215Z 13012G18KT 10SM SCT055 BKN250 31/20 A2986 490 51 2500 140/12G18 RMK AO2 T03110200
13722KRDU RDU20260801172011908/01/26 17:20:31  5-MIN KRDU 012220Z 14011G18KT 10SM SCT055 BKN250 31/19 A2986 490 51 2400 150/11G18 RMK AO2 T03060194
13722KRDU RDU20260801172511908/01/26 17:25:31  5-MIN KRDU 012225Z 13013G25KT 10SM SCT055 BKN250 30/19 A2986 490 52 2400 140/13G25 RMK AO2 T03000194
13722KRDU RDU20260801173011908/01/26 17:30:31  5-MIN KRDU 012230Z 14014G25KT 10SM SCT055 BKN250 30/19 A2986 490 51 2400 140/14G25 RMK AO2 T03000189
13722KRDU RDU20260801173511908/01/26 17:35:31  5-MIN KRDU 012235Z 14017G25KT 10SM SCT055 BKN250 30/19 A2986 490 51 2400 150/17G25 RMK AO2 T03000189
13722KRDU RDU20260801174011908/01/26 17:40:31  5-MIN KRDU 012240Z 15010G25KT 10SM SCT055 BKN250 30/19 A2986 500 51 2400 160/10G25 RMK AO2 T03000189
13722KRDU RDU20260801174512608/01/26 17:45:31  5-MIN KRDU 012245Z 15011G23KT 10SM SCT055 BKN250 30/19 A2986 500 51 2400 160/11G23 RMK AO2 SLP104 T03000189
13722KRDU RDU20260801175013308/01/26 17:50:31  5-MIN KRDU 012250Z 14009G23KT 10SM FEW055 SCT075 BKN250 30/19 A2986 500 52 2400 150/09G23 RMK AO2 SLP104 T03000194
13722KRDU RDU20260801175512008/01/26 17:55:31  5-MIN KRDU 012255Z 15007KT 10SM FEW055 SCT075 BKN250 30/19 A2986 500 52 2400 160/07 RMK AO2 T03000194
13722KRDU RDU20260801180012008/01/26 18:00:31  5-MIN KRDU 012300Z 15009KT 10SM FEW055 SCT075 BKN250 30/19 A2986 490 52 2400 160/09 RMK AO2 T03000194
13722KRDU RDU20260801180512008/01/26 18:05:31  5-MIN KRDU 012305Z 16007KT 10SM FEW055 SCT075 BKN250 30/19 A2986 490 52 2400 160/07 RMK AO2 T03000194
13722KRDU RDU20260801181012008/01/26 18:10:31  5-MIN KRDU 012310Z 16009KT 10SM FEW055 SCT075 BKN250 30/19 A2986 490 52 2400 170/09 RMK AO2 T03000194
